,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,2010,Cardano,ADA,cardano,1252,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35960643044.11,37170426657.961,False,,11,,,,2024-09-20T09:43:00.000Z,0.3593248619795746,288822615.04086727,-6.375,0.3342894,3.40267373,0.76534095,2.21110622,-17.43099282,-4.24163505,12921553098.521574,0.5851,16169618789.08,,2024-09-20T09:43:00.000Z,,,,,,2024-09-20 16:46:41.458809
11,5805,Avalanche,AVAX,avalanche,781,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,405954274.89082843,445957374.89082843,False,,12,,,,2024-09-20T09:43:00.000Z,28.38441878831587,500414562.8557882,16.3488,-0.34819703,8.17359179,19.29282636,23.51418318,-11.02133815,12.93436295,11522776147.408377,0.5217,20316111387.3,,2024-09-20T09:43:00.000Z,,,,,,2024-09-20 16:46:41.458809
12,5994,Shiba Inu,SHIB,shiba-inu,877,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589269506497063.4,589518418862384.9,False,,13,,,,2024-09-20T09:43:00.000Z,1.4430726793031939e-05,237867091.89853945,0.2384,0.69334327,1.32125507,5.6889985,6.12288855,-18.37138274,-19.41914859,8503587255.723881,0.3851,8507179242.06,,2024-09-20T09:43:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-09-20 16:46:41.458809
13,1975,Chainlink,LINK,chainlink,1846,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,14,,,,2024-09-20T09:43:00.000Z,11.687783006668676,275945144.34547865,-2.8067,0.54875025,4.1246448,7.98350267,13.33545731,-18.05085033,-14.31354264,7107340501.013804,0.3218,11687783006.67,,2024-09-20T09:43:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-09-20 16:46:41.458809
14,1831,Bitcoin Cash,BCH,bitcoin-cash,923,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19763253.125,19763253.125,False,,15,,,,2024-09-20T09:43:00.000Z,340.8556815671186,252671726.79708338,-27.1358,0.18511811,-1.5512288,3.56137709,1.48814257,-11.9102127,-11.2916637,6736417113.905362,0.305,7157969312.91,,2024-09-20T09:43:00.000Z,,,,,,2024-09-20 16:46:41.458809
15,6636,Polkadot,DOT,polkadot-new,819,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'layer-1']",,1495565192.3077066,1495565192.3077066,True,,16,1495565192.314658,6551616166.506248,,2024-09-20T09:44:00.000Z,4.380695806624408,154303502.1824538,-3.763,0.33336916,4.23489651,1.38911125,-3.66773608,-29.8502023,-23.05337093,6551616166.475798,0.2967,6551616166.48,,2024-09-20T09:44:00.000Z,,,,,,2024-09-20 16:46:41.458809
16,4943,Dai,DAI,multi-collateral-dai,3375,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5365382702.664872,5365382702.664872,True,,17,,,,2024-09-20T09:43:00.000Z,1.0001756255193985,69081065.70284346,-26.9131,-0.00190167,0.01411728,0.00447311,0.01253666,0.03318839,0.01257684,5366325000.788799,0.243,5366325000.79,,2024-09-20T09:43:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2024-09-20 16:46:41.458809
17,3957,UNUS SED LEO,LEO,unus-sed-leo,48,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,925422085.9,985239504.0,False,,18,,,,2024-09-20T09:43:00.000Z,5.73742842495315,3052743.75888844,-18.1314,-1.87350671,2.13809286,0.69873268,-2.457432,-0.17961651,0.74049851,5309542980.7220955,0.2404,5652741135.64,,2024-09-20T09:43:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2024-09-20 16:46:41.458809
18,6535,NEAR Protocol,NEAR,near-protocol,451,2020-08-11T00:00:00.000Z,"['platform', 'ai-big-data', 'staking', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'arrington-xrp-capital-portfolio', 'coinfund-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'near-protocol-ecosystem', 'cross-chain', 'injective-ecosystem', 'circle-ventures-portfolio', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'account-abstraction', 'data-availability']",,1131247939.0,1211198536.0,False,,19,,,,2024-09-20T09:44:00.000Z,4.455535526866235,352250943.32658154,-22.9274,0.41823606,-0.30969882,6.6157596,10.8491409,-27.26455757,-14.98315738,5040315381.908708,0.2281,5396538107.24,,2024-09-20T09:44:00.000Z,,,,,,2024-09-20 16:46:41.458809
19,2,Litecoin,LTC,litecoin,1242,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,74994506.1066697,84000000.0,False,,20,,,,2024-09-20T09:44:00.000Z,66.24178634027429,304504622.18371207,-7.2646,0.4420552,1.55373898,4.54652136,5.38891949,-10.07568835,-10.58063372,4967770050.212409,0.225,5564310052.58,,2024-09-20T09:44:00.000Z,,,,,,2024-09-20 16:46:41.458809
